id,name_zh,name_en,lat,lon,open_date,close_date,open_dates_raw,close_dates_raw
Q17062443,甘洛站,Ganluo railway station,28.981717,102.760129,,,,
Q17062459,隆化站,Longhua Railway Station,41.32828649,117.75164124,,,,
Q17062568,雨过铺站,Yuguopu Railway Station,23.467046,103.318706,1918-01-01,,1918-01-01,
Q17062576,黄瓜园站,Huangguayuan Railway Station,25.8235773,101.8634031,,,,
Q17062622,褒河站,Baohe Railway Station,33.15756,106.93727,,,,
Q17062672,黑石岗站,Heishigang Railway Station,22.24795,111.7961,,,,
Q17062695,青堆子站,Qingduizi Railway Station,41.449477777,121.911377777,,,,
Q17062705,甘谷站,Gangu Station,34.763833,105.328453,,,,
Q17062766,襄州站,Xiangzhou Railway Station,32.099113,112.220597,,,,
Q11071110,徘徊北站,Paihuaibei Railway Station,36.618422222,114.036169444,,,,
Q11071268,循礼门火车站,Xunlimen Railway Station,30.5847,114.286,,,,
Q11071315,微子镇站,Weizizhen Railway Station,36.324816666,113.287002777,,,,
Q11071656,德州站,Dezhou Railway Station,37.448623,116.282339,1908-01-01,,1908-01-01,
Q11071677,德惠站,Dehui Railway Station,44.531773,125.710782,,,,
Q11071706,德昌站,Dechang Railway Station,27.3990211,102.185443,,,,
Q11071760,德清站,Deqing Railway Station,30.54705833,120.05662222,2013-01-01,,2013-07-01,
Q11071761,德清西站,Deqingxi Railway Station,30.5381,119.953,,,,
Q11071902,德阳站,Deyang Railway Station,31.16805278,104.38648889,2011-01-01,,2011-03-22,
Q11072226,志學車站,Zhixue Station,23.9072,121.529,1911-01-01,,1911-09-25,
Q11072330,忠义站,Zhongyi Railway Station,35.09116111,113.65655278,,,,
Q11072419,忻口站,Xinkou Railway Station,38.609937969,112.740649456,,,,
Q11072425,忻州站,Xinzhou Railway Station,38.4194,112.741,,,,
Q11072443,怀仁站,Huairen Railway Station,39.826802777,113.087544444,,,,
Q11072448,怀化西站,Huaihuaxi Railway Station,27.512781,109.941835,1978-01-01,,1978-01-01,
Q11072452,怀化站,Huaihua Railway Station,27.56083298,109.96333313,1972-01-01,,1972-01-01,
Q11072483,怀柔北站,Huairoubei Railway Station,40.407908,116.687145,,,,
Q11072488,怀柔站,Huairou Railway Station,40.31591667,116.64305556,,,,
Q11072602,思濛站,Simeng Railway Station,29.943704,103.703019,,,,
Q11072604,思甜站,Sitian Railway Station,41.9449,94.2606,,,,
Q11072899,恒地营站,Hengdiying Railway Station,48.559635152,124.955696265,,,,
Q11073020,恩施站,Enshi railway station,30.35125,109.47986,,,,
Q11073096,息烽站,Xifeng Railway Station,27.082038,106.743767,,,,
Q11073339,惠农站,Huinong Railway Station,39.2619789,106.7276012,,,,
Q24837589,南江口站,Nanjiangkou Railway Station,23.122032,111.78306,,,,
Q24837648,临澧西站,Linlixi Railway Station,29.436111111,111.602958333,1997-01-01,,1997-01-01,
Q24837680,泰宁站,Taining Railway Station,26.930404,117.148176,,,,
Q24837692,苍溪站,Cangxi Railway Station,31.76247,105.911816,,,,
Q24837696,阆中站,Langzhong Railway Station,31.559966,105.953575,,,,
Q24837727,永泰站,Yongtai Railway Station,25.85104167,118.92856389,,,,
Q24837732,将乐站,Jiangle Railway Station,26.69809722,117.47270556,,,,
Q24837740,尤溪站,Youxi Railway Station,26.169927,118.136641,,,,
Q24837752,东方站,Dongfang railway station,19.090057,108.687738,2015-01-01,,2015-12-30,
Q24837793,杨陵南站,Yangling South railway station,34.256,108.04838611,2013-01-01,,2013-12-28,
Q24837806,榆林站,Yulin Railway Station,38.271939,109.71455,,,,
Q24837882,篁墩站,Huangdun Railway Station,29.779662,118.35745,,,,
Q24838203,昭通站,Zhaotong Railway Station,27.388607,103.789457,,,,
Q24838266,青莲站,Qinglian Railway Station,31.67326389,104.69936389,,,,
Q24838391,威海北站,Weihaibei Railway Station,37.49498611,122.04300833,2014-01-01,,2014-12-28,
Q24838401,牟平站,Muping Railway Station,37.4238946,121.6511802,,,,
Q24838517,海阳北站,Haiyangbei Railway Station,37.06853056,120.95493889,,,,
Q24838533,桃村北站,Taocunbei Railway Station,37.21102222,121.14109444,,,,
Q24838624,辽源站,Liaoyuan Railway Station,42.902561111,125.122488888,,,,
Q24839140,黄冈西站,Huanggangxi Railway Station,30.50707222,114.88373056,,,,
Q24839163,左岭站,Zuoling Railway Station,30.50257778,114.60528889,,,,
Q24839231,土溪站,Tuxi Railway Station,31.016977,107.056599,,,,
Q24839276,三阳站,Sanyang Railway Station,30.029526,118.801888,2018-01-01,,2018-01-01,
Q24839362,三穗站,Sansui railway station,26.96912778,108.64764167,,,,
Q24839384,营山站,Yingshan Railway Station,31.067313,106.564888,,,,
Q24839389,凱里南站,Kaili South railway station,26.51696389,107.88411389,,,,
Q24839413,貴定北站,Guiding North railway station,26.59588333,107.22872778,2015-01-01,,2015-06-18,
Q15913675,灞桥站,Baqiao Railway Station,34.30166667,109.05472222,,,,
Q15913749,滦县东站,Luanxiandong Railway Station,39.755855555,118.741280555,1892-01-01,,1892-01-01,
Q15913752,漯河站,Luohe railway station,33.57222222,114.03722222,1903-01-01,,1903-01-01,
Q15913797,漳州东站,Zhangzhoudong Railway Station,24.567577,117.740324,,,,
Q15913902,玉门站,Yumen Railway Station,40.2762,97.0397,,,,
Q15913900,顺义站,Shunyi Railway Station,40.1229,116.638,1938-01-01,,1938-01-01,
